[0,   100]: loss: 2.154
[1,   100]: loss: 1.755
[2,   100]: loss: 1.615
[3,   100]: loss: 1.497
[4,   100]: loss: 1.425
[5,   100]: loss: 1.327
[6,   100]: loss: 1.249
[7,   100]: loss: 1.192
[8,   100]: loss: 1.094
[9,   100]: loss: 1.050
[10,   100]: loss: 0.994
[11,   100]: loss: 0.941
[12,   100]: loss: 0.903
[13,   100]: loss: 0.832
[14,   100]: loss: 0.755
[15,   100]: loss: 0.717
[16,   100]: loss: 0.666
[17,   100]: loss: 0.613
[18,   100]: loss: 0.537
[19,   100]: loss: 0.504
[20,   100]: loss: 0.457
[21,   100]: loss: 0.408
[22,   100]: loss: 0.335
[23,   100]: loss: 0.348
[24,   100]: loss: 0.290
[25,   100]: loss: 0.242
[26,   100]: loss: 0.185
[27,   100]: loss: 0.228
[28,   100]: loss: 0.171
[29,   100]: loss: 0.150
[30,   100]: loss: 0.145
[31,   100]: loss: 0.149
[32,   100]: loss: 0.112
[33,   100]: loss: 0.107
[34,   100]: loss: 0.119
[35,   100]: loss: 0.087
[36,   100]: loss: 0.106
[37,   100]: loss: 0.107
[38,   100]: loss: 0.097
[39,   100]: loss: 0.083
[40,   100]: loss: 0.090
[41,   100]: loss: 0.093
[42,   100]: loss: 0.078
[43,   100]: loss: 0.076
[44,   100]: loss: 0.074
[45,   100]: loss: 0.070
[46,   100]: loss: 0.066
[47,   100]: loss: 0.057
[48,   100]: loss: 0.078
[49,   100]: loss: 0.064
