[0,   100]: loss: 2.002
[1,   100]: loss: 1.602
[2,   100]: loss: 1.426
[3,   100]: loss: 1.271
[4,   100]: loss: 1.175
[5,   100]: loss: 1.067
[6,   100]: loss: 0.968
[7,   100]: loss: 0.909
[8,   100]: loss: 0.789
[9,   100]: loss: 0.711
[10,   100]: loss: 0.633
[11,   100]: loss: 0.526
[12,   100]: loss: 0.412
[13,   100]: loss: 0.373
[14,   100]: loss: 0.303
[15,   100]: loss: 0.245
[16,   100]: loss: 0.233
[17,   100]: loss: 0.172
[18,   100]: loss: 0.151
[19,   100]: loss: 0.118
[20,   100]: loss: 0.114
[21,   100]: loss: 0.103
[22,   100]: loss: 0.092
[23,   100]: loss: 0.079
[24,   100]: loss: 0.079
[25,   100]: loss: 0.074
[26,   100]: loss: 0.067
[27,   100]: loss: 0.073
[28,   100]: loss: 0.079
[29,   100]: loss: 0.054
[30,   100]: loss: 0.045
[31,   100]: loss: 0.060
[32,   100]: loss: 0.045
[33,   100]: loss: 0.048
[34,   100]: loss: 0.070
[35,   100]: loss: 0.061
[36,   100]: loss: 0.046
[37,   100]: loss: 0.029
[38,   100]: loss: 0.050
[39,   100]: loss: 0.073
[40,   100]: loss: 0.052
[41,   100]: loss: 0.029
[42,   100]: loss: 0.033
[43,   100]: loss: 0.025
[44,   100]: loss: 0.034
[45,   100]: loss: 0.031
[46,   100]: loss: 0.044
[47,   100]: loss: 0.038
[48,   100]: loss: 0.048
[49,   100]: loss: 0.076
